track name,artist name,artist popularity,artist genres,album name,track popularity,audio features
Midnight Rain,Taylor Swift,100,['pop'],Midnights,91,"{'danceability': 0.643, 'energy': 0.363, 'key': 0, 'loudness': -11.738, 'mode': 1, 'speechiness': 0.0767, 'acousticness': 0.69, 'instrumentalness': 5.17e-05, 'liveness': 0.115, 'valence': 0.23, 'tempo': 139.865, 'type': 'audio_features', 'id': '3rWDp9tBPQR9z6U5YyRSK4', 'uri': 'spotify:track:3rWDp9tBPQR9z6U5YyRSK4', 'track_href': 'https://api.spotify.com/v1/tracks/3rWDp9tBPQR9z6U5YyRSK4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3rWDp9tBPQR9z6U5YyRSK4', 'duration_ms': 174783, 'time_signature': 4}"
Lavender Haze,Taylor Swift,100,['pop'],Midnights,91,"{'danceability': 0.733, 'energy': 0.436, 'key': 10, 'loudness': -10.489, 'mode': 1, 'speechiness': 0.08, 'acousticness': 0.258, 'instrumentalness': 0.000573, 'liveness': 0.157, 'valence': 0.0976, 'tempo': 96.985, 'type': 'audio_features', 'id': '5jQI2r1RdgtuT8S3iG8zFC', 'uri': 'spotify:track:5jQI2r1RdgtuT8S3iG8zFC', 'track_href': 'https://api.spotify.com/v1/tracks/5jQI2r1RdgtuT8S3iG8zFC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5jQI2r1RdgtuT8S3iG8zFC', 'duration_ms': 202396, 'time_signature': 4}"
Until I Found You,Stephen Sanchez,76,"['gen z singer-songwriter', 'pop']",Easy On My Eyes,84,"{'danceability': 0.346, 'energy': 0.5, 'key': 10, 'loudness': -6.097, 'mode': 1, 'speechiness': 0.0388, 'acousticness': 0.757, 'instrumentalness': 0, 'liveness': 0.189, 'valence': 0.191, 'tempo': 202.466, 'type': 'audio_features', 'id': '6VhuP99TE6gYNQRJIlAWFD', 'uri': 'spotify:track:6VhuP99TE6gYNQRJIlAWFD', 'track_href': 'https://api.spotify.com/v1/tracks/6VhuP99TE6gYNQRJIlAWFD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6VhuP99TE6gYNQRJIlAWFD', 'duration_ms': 176667, 'time_signature': 3}"
Efecto,Bad Bunny,98,"['reggaeton', 'trap latino']",Un Verano Sin Ti,94,"{'danceability': 0.801, 'energy': 0.475, 'key': 7, 'loudness': -8.797, 'mode': 0, 'speechiness': 0.0516, 'acousticness': 0.141, 'instrumentalness': 1.73e-05, 'liveness': 0.0639, 'valence': 0.234, 'tempo': 98.047, 'type': 'audio_features', 'id': '5Eax0qFko2dh7Rl2lYs3bx', 'uri': 'spotify:track:5Eax0qFko2dh7Rl2lYs3bx', 'track_href': 'https://api.spotify.com/v1/tracks/5Eax0qFko2dh7Rl2lYs3bx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5Eax0qFko2dh7Rl2lYs3bx', 'duration_ms': 213061, 'time_signature': 4}"
Calm Down (with Selena Gomez),Rema,79,['nigerian pop'],Calm Down (with Selena Gomez),93,"{'danceability': 0.801, 'energy': 0.806, 'key': 11, 'loudness': -5.206, 'mode': 1, 'speechiness': 0.0381, 'acousticness': 0.382, 'instrumentalness': 0.000669, 'liveness': 0.114, 'valence': 0.802, 'tempo': 106.999, 'type': 'audio_features', 'id': '0WtM2NBVQNNJLh6scP13H8', 'uri': 'spotify:track:0WtM2NBVQNNJLh6scP13H8', 'track_href': 'https://api.spotify.com/v1/tracks/0WtM2NBVQNNJLh6scP13H8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8', 'duration_ms': 239318, 'time_signature': 4}"
Mockingbird,Eminem,91,"['detroit hip hop', 'hip hop', 'rap']",Encore (Deluxe Version),90,"{'danceability': 0.637, 'energy': 0.678, 'key': 0, 'loudness': -3.798, 'mode': 1, 'speechiness': 0.266, 'acousticness': 0.209, 'instrumentalness': 0, 'liveness': 0.156, 'valence': 0.254, 'tempo': 84.039, 'type': 'audio_features', 'id': '561jH07mF1jHuk7KlaeF0s', 'uri': 'spotify:track:561jH07mF1jHuk7KlaeF0s', 'track_href': 'https://api.spotify.com/v1/tracks/561jH07mF1jHuk7KlaeF0s', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/561jH07mF1jHuk7KlaeF0s', 'duration_ms': 250760, 'time_signature': 4}"
CUFF IT,Beyoncé,86,"['dance pop', 'pop', 'r&b']",RENAISSANCE,93,"{'danceability': 0.78, 'energy': 0.689, 'key': 7, 'loudness': -5.668, 'mode': 1, 'speechiness': 0.141, 'acousticness': 0.0368, 'instrumentalness': 9.69e-06, 'liveness': 0.0698, 'valence': 0.642, 'tempo': 115.042, 'type': 'audio_features', 'id': '1xzi1Jcr7mEi9K2RfzLOqS', 'uri': 'spotify:track:1xzi1Jcr7mEi9K2RfzLOqS', 'track_href': 'https://api.spotify.com/v1/tracks/1xzi1Jcr7mEi9K2RfzLOqS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1xzi1Jcr7mEi9K2RfzLOqS', 'duration_ms': 225389, 'time_signature': 4}"
Die For You,The Weeknd,93,"['canadian contemporary r&b', 'canadian pop', 'pop']",Starboy,87,"{'danceability': 0.586, 'energy': 0.525, 'key': 1, 'loudness': -7.163, 'mode': 0, 'speechiness': 0.0615, 'acousticness': 0.111, 'instrumentalness': 0, 'liveness': 0.134, 'valence': 0.508, 'tempo': 133.629, 'type': 'audio_features', 'id': '2LBqCSwhJGcFQeTHMVGwy3', 'uri': 'spotify:track:2LBqCSwhJGcFQeTHMVGwy3', 'track_href': 'https://api.spotify.com/v1/tracks/2LBqCSwhJGcFQeTHMVGwy3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2LBqCSwhJGcFQeTHMVGwy3', 'duration_ms': 260253, 'time_signature': 4}"
Romantic Homicide,d4vd,79,['bedroom pop'],Romantic Homicide,93,"{'danceability': 0.571, 'energy': 0.544, 'key': 6, 'loudness': -10.613, 'mode': 1, 'speechiness': 0.0299, 'acousticness': 0.453, 'instrumentalness': 0.00805, 'liveness': 0.322, 'valence': 0.216, 'tempo': 132.052, 'type': 'audio_features', 'id': '1xK59OXxi2TAAAbmZK0kBL', 'uri': 'spotify:track:1xK59OXxi2TAAAbmZK0kBL', 'track_href': 'https://api.spotify.com/v1/tracks/1xK59OXxi2TAAAbmZK0kBL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1xK59OXxi2TAAAbmZK0kBL', 'duration_ms': 132631, 'time_signature': 4}"
golden hour,JVKE,78,"['modern indie pop', 'pop']",this is what ____ feels like (Vol. 1-4),88,"{'danceability': 0.515, 'energy': 0.593, 'key': 4, 'loudness': -4.801, 'mode': 1, 'speechiness': 0.0322, 'acousticness': 0.653, 'instrumentalness': 0.162, 'liveness': 0.25, 'valence': 0.153, 'tempo': 94.467, 'type': 'audio_features', 'id': '5odlY52u43F5BjByhxg7wg', 'uri': 'spotify:track:5odlY52u43F5BjByhxg7wg', 'track_href': 'https://api.spotify.com/v1/tracks/5odlY52u43F5BjByhxg7wg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5odlY52u43F5BjByhxg7wg', 'duration_ms': 209260, 'time_signature': 3}"
